PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
rxphS,2r3k1/r3qppp/pR3n2/2pp4/8/1P2PN2/P1Q2PPP/2R3K1 w - - 0 22,b3b4 f6d7 b4c5 d7b6 c5b6 c8c2,2282,83,91,3452,crushing long middlegame trappedPiece,https://lichess.org/aZz05bBj#43,
zFQP8,r2q1rk1/1bpp2p1/1p2p2p/4P1N1/8/pPPB4/P1Q2P1P/1K1R3R b - - 0 20,b7h1 d3h7 g8h8 h7g8 f8f5 g5f7 h8g8 f7d8,1994,94,88,26,advantage fork master middlegame veryLong,https://lichess.org/RrpnFWAl/black#40,
VXTUB,5rk1/pQp3pp/3p4/3P1q2/3R4/6PP/PPP5/1KR2r2 w - - 3 22,b7c7 f1c1 b1c1 f8c8,2010,173,0,6,advantage endgame master short,https://lichess.org/YsxVdli7#43,
zdwgY,8/8/3k4/1P1ppP1N/1K3b2/8/8/8 b - - 0 45,d5d4 h5f4 e5f4 b4c4 f4f3 c4d3 f3f2 d3e2 d4d3 e2f2 d3d2 f2e2 d2d1q e2d1,2108,76,84,61,crushing endgame master veryLong,https://lichess.org/gKJZb5qT/black#90,
qgxpI,r7/q1r4k/6pP/3Q1p2/1p6/1P3P2/P2N4/1K1R3R w - - 1 36,d2c4 a7a2 b1c1 a2b3,2335,83,96,208,crushing middlegame short,https://lichess.org/GkTCmC7h#71,
xp4qg,8/2b2ppk/1q2p2p/2p1P3/PpBr4/1P3Q1P/5PP1/3R1K2 b - - 11 35,c7e5 d1d4 e5d4 f3f7,2012,90,46,27,crushing endgame short,https://lichess.org/n2G4oEkC/black#70,
USEOX,3r4/1p1r1pkp/p5p1/4R3/3P4/2Q4P/qP4P1/4R1K1 b - - 4 25,a2a4 d4d5 d8c8 c3c8,1900,76,100,71,advantage endgame quietMove short,https://lichess.org/oFPWcoLd/black#50,
WvNWB,r1b1Q3/pp3p1k/3p2pp/3P4/1b3q2/3B4/PP3PPP/2R3K1 w - - 0 20,c1c8 a8c8 e8c8 b4c5 c8c5 d6c5,2134,82,91,3309,crushing endgame long,https://lichess.org/A86kyjpy#39,
OvXNb,r4k1r/pp1b2p1/1qn1pbQ1/3p4/3p3P/1N3N2/PPP2PP1/R1B2RK1 w - - 0 15,f3g5 c6e5 g5h7 f8e7,2339,95,90,340,advantage defensiveMove master middlegame short,https://lichess.org/nr5b9cjJ#29,French_Defense French_Defense_Advance_Variation
Phyt2,r5k1/pp2qpp1/2b2n1p/8/3B4/P2B4/1P1Q1PPP/4R1K1 b - - 0 25,e7d7 d4f6 d7d5 e1e4,2366,96,89,856,advantage defensiveMove master middlegame short,https://lichess.org/OIMDoIvV/black#50,
002Ds,8/1pp5/p2p4/P2Pk2p/1PP1p2P/2n1K2P/3N4/8 b - - 0 45,b7b6 b4b5 c3d1 e3e2 a6b5 a5a6,1992,76,90,114,crushing endgame knightEndgame long,https://lichess.org/2SrvOtZN/black#90,
7c0VL,3r2k1/2p2rbp/ppn1p1p1/1N2Pp2/2P2P2/1P2B1P1/P5KP/R2R4 w - - 0 20,b5d4 f7d7 d4c6 d7d1 c6d8 d1a1,2008,75,94,1584,crushing long middlegame,https://lichess.org/xXOECNEq#39,
e2nSk,6r1/2R2Nkp/1pb1p3/2p1Pp2/3p4/1P1P3P/2P3r1/R6K b - - 5 39,g2c2 c7c6 g7f7 c6c7 f7g6 a1g1 g6h6 g1g8,2087,92,88,19,advantage endgame master skewer veryLong,https://lichess.org/bN2y7eCh/black#78,
EFXRU,rnbqk2r/pp1pbppp/5n2/2p3N1/2B1P3/2N5/PP3PPP/R1BQK2R b KQkq - 2 7,e8g8 e4e5 d7d5 e5f6,1970,76,66,140,advantage opening short,https://lichess.org/Z0oyDqtC/black#14,Center_Game Center_Game_Kieseritzky_Variation
PqERH,3r1rk1/1pp2ppp/4p3/pPb1N3/P2Pq3/4B2P/R6K/3Q1R2 w - - 0 25,a2d2 e4e3 e5c4 c5d6,2075,81,91,1513,crushing hangingPiece middlegame short,https://lichess.org/Gqm8uByk#49,
N3PKF,r3r1k1/pp3bb1/2p2p1p/4p1p1/1B2Q3/2N2P1P/PqP3P1/3RR2K b - - 1 26,f7a2 d1b1 a2b1 e1b1 b2b1 c3b1,2250,88,90,825,advantage long middlegame sacrifice trappedPiece,https://lichess.org/oMIK8bAn/black#52,
imbTP,7r/1p4kr/n2P4/2p2pp1/2Pq4/P2B1PP1/1P3Q1P/1R2R1K1 b - - 1 28,d4d3 b1d1 h7h2 f2h2,2137,75,94,1673,crushing middlegame short,https://lichess.org/SKBmzru8/black#56,
003cs,2r1kbnr/pp4pp/4p3/3pP1N1/3q4/1P2B3/P3Q1PP/nN3RK1 b k - 1 16,d4e5 f1f8 e8f8 e3c5 c8c5 e2e5 c5c1 g1f2,2059,81,90,82,advantage attraction discoveredAttack exposedKing middlegame sacrifice veryLong,https://lichess.org/PmRTKflq/black#32,Caro-Kann_Defense Caro-Kann_Defense_Advance_Variation
FbVcL,8/3k2p1/3P1pK1/2P5/1p6/1P6/8/8 b - - 2 43,d7c6 g6g7 f6f5 g7f6,2358,77,94,672,crushing endgame master pawnEndgame short,https://lichess.org/eQGIlIZi/black#86,
8m1aM,5r1k/1p3rp1/p2q1n1p/P2N1R2/3P4/1Q4P1/1P4PP/5RK1 w - - 3 29,g3g4 f6g4 b3g3 d6g3 h2g3 f7f5,1971,164,31,14,crushing long middlegame,https://lichess.org/bRHCKMbl#57,
2SLgO,2r1r1k1/4q1p1/1p1b3p/p2pN3/Pn1B1PQ1/2N4P/6P1/5RK1 b - - 0 26,b4c6 e5c6 c8c6 c3d5 e7f7 d5f6 f7f6 d4f6,2377,81,90,347,middlegame,https://lichess.org/A1r5n7H7/black#52,
iTorD,5r1k/1p5p/p3B1pq/1b1pR3/3P1n2/4QPN1/PP3P1P/6K1 w - - 2 26,e6d5 h6h3 e3f4 f8f4,1982,74,90,647,crushing master masterVsMaster middlegame short,https://lichess.org/KbV0LdRF#51,
aLaUl,7k/p2rbrpp/1pR5/4pP2/4p3/3P1R2/PP3BPP/7K w - - 0 25,c6c8 f7f8 c8f8 e7f8 d3e4 d7d1,1955,78,92,87,advantage defensiveMove endgame long,https://lichess.org/s7B8jnek#49,
LRoLy,8/8/2r2kpp/1pP2p2/1P3K1P/8/1P1R2P1/8 w - - 4 43,d2d6 c6d6 c5d6 g6g5 f4e3 f6e6,2177,75,96,959,crushing endgame long rookEndgame,https://lichess.org/WSLetGmW#85,
kUwUc,7R/1r2b3/4r1k1/R6p/5Pp1/1P6/P4K1P/8 b - - 2 40,e7d6 a5g5 g6f6 h8h6 f6e7 h6h7,2141,78,91,2968,crushing endgame long,https://lichess.org/cZzLc6dG/black#80,
h9cth,3r1rk1/2pq1p2/4ppbp/1p6/3PNnP1/2P1Q2P/P4PB1/R4RK1 b - - 5 22,f4g2 e4f6 g8g7 e3e5,2199,76,91,1259,crushing fork master middlegame short,https://lichess.org/PIv5tcky/black#44,
Ei1rE,4R3/6pk/p2r4/1pp2P2/6P1/8/PP2K3/8 b - - 0 38,h7h6 e8e6 d6e6 f5e6 h6g6 g4g5,2004,75,96,4825,advantage defensiveMove endgame long rookEndgame,https://lichess.org/6pEOsIxz/black#76,
p4q7k,r4r2/3bppkp/pq1p1np1/1p2n2P/3NP1P1/P1N2P2/1PPQ4/R3KB1R w KQ - 0 15,h5g6 b6d4 d2h6 g7g8 g6h7 g8h8,2087,80,91,1654,advantage long middlegame,https://lichess.org/auHgfEo1#29,Queens_Pawn_Game Queens_Pawn_Game_Other_variations
Jy1qG,3Q4/4N1pk/p6p/2pn4/1p1q4/5P1N/PP5P/4B1K1 w - - 1 39,e1f2 d4d1 g1g2 d5e3 f2e3 d1d8,2106,76,95,945,advantage discoveredAttack endgame long,https://lichess.org/BjFQ84HX#77,
ZEoHr,2r2rk1/2pbq1bp/1p1p2p1/p2P4/Q1R5/4B1P1/P4PBP/2R3K1 w - - 2 22,c4c7 c8c7 c1c7 e7e3 f2e3 d7a4,2344,77,92,3117,crushing long middlegame,https://lichess.org/QooNc1hU#43,
iEpJW,2r3rk/3R1Rp1/4p2p/2b1P1BN/2n5/2P3Q1/4q1PP/7K b - - 2 31,e2h5 g5f6 h5g5 f6g5,2145,80,90,196,crushing middlegame short,https://lichess.org/6qaceEHm/black#62,
b6hgH,R7/p2r2p1/1p3k1p/7P/6P1/P5K1/5P2/8 b - - 3 35,f6g5 a8f8 d7d3 f2f3 g7g6 f8g8,2005,76,88,97,crushing defensiveMove endgame long quietMove rookEndgame,https://lichess.org/XAFx3Djq/black#70,
WUJfG,r2r4/1p3pk1/p3P1pp/8/8/1B2BQb1/P1P1K2q/R4R2 w - - 2 28,e3f2 g3f2 f1f2 h2e5,2141,147,94,32,equality middlegame short,https://lichess.org/jcDHNNOD#55,
88yah,r5k1/1b1p2p1/p2q1bQ1/1pp1PR2/8/P2P4/1P2N2P/6K1 b - - 0 27,d6d3 e5f6 d3b1 g1f2 b1f5 g6f5,2126,76,94,14149,advantage long master middlegame,https://lichess.org/sVQG9xxW/black#54,
RtJTO,6k1/pb2r2p/1ppqppp1/4R1Nn/1P1P3P/P5P1/2Q2P2/3R2K1 w - - 0 26,g5h7 g8h7 e5h5 h7g7 h5c5 b6c5,2357,77,100,222,advantage long middlegame trappedPiece,https://lichess.org/BSiSil7f#51,
imtwG,5rk1/2R3p1/7p/3PP2n/1P1Q4/6pP/r7/4B2K w - - 0 38,h1g1 h5f4 d4f4 f8f4,2183,76,91,1888,advantage endgame master masterVsMaster short,https://lichess.org/iPKCaEHv#75,
